,Week,Genre,Play Share,Total Plays
0,2005-02-13,Rock,0.5160383985015219,17084
1,2005-02-13,Metal,0.0746312339030672,17084
2,2005-02-13,Jazz,0.1338679466167174,17084
3,2005-02-13,Electronic,0.05812456099274175,17084
4,2005-02-13,other,0.12842425661437604,17084
5,2005-02-13,Indie,0.02575509248419574,17084
6,2005-02-13,Pop,0.02663310700070241,17084
7,2005-02-13,Hip Hop,0.01791149613673613,17084
8,2005-02-13,folk,0.0170920159213299,17084
9,2005-02-13,Classical,0.0015218918286115663,17084
10,2005-02-20,Rock,0.5445544554455446,101
11,2005-02-20,Metal,0.27722772277227725,101
12,2005-02-20,other,0.1188118811881188,101
13,2005-02-20,Jazz,0.0594059405940594,101
14,2005-02-27,Jazz,0.6633165829145728,199
15,2005-02-27,Rock,0.2814070351758794,199
16,2005-02-27,Metal,0.03015075376884422,199
17,2005-02-27,other,0.02512562814070352,199
18,2005-03-13,Jazz,0.8461538461538461,13
19,2005-03-13,Hip Hop,0.15384615384615385,13
20,2005-03-20,Rock,0.7954545454545454,44
21,2005-03-20,Jazz,0.1590909090909091,44
22,2005-03-20,other,0.045454545454545456,44
23,2005-03-27,Rock,1.0,11
24,2005-04-03,Rock,0.8679245283018868,53
25,2005-04-03,Metal,0.05660377358490566,53
26,2005-04-03,other,0.03773584905660377,53
27,2005-04-03,Indie,0.018867924528301886,53
28,2005-04-03,Hip Hop,0.018867924528301886,53
29,2005-04-10,Rock,0.6666666666666666,201
30,2005-04-10,Jazz,0.06467661691542288,201
31,2005-04-10,Metal,0.1044776119402985,201
32,2005-04-10,folk,0.024875621890547265,201
33,2005-04-10,other,0.07960199004975124,201
34,2005-04-10,Electronic,0.024875621890547265,201
35,2005-04-10,Pop,0.014925373134328358,201
36,2005-04-10,Hip Hop,0.004975124378109453,201
37,2005-04-10,Indie,0.014925373134328358,201
38,2005-04-17,other,0.2953020134228188,149
39,2005-04-17,Jazz,0.14093959731543623,149
40,2005-04-17,Rock,0.3288590604026846,149
41,2005-04-17,Indie,0.040268456375838924,149
42,2005-04-17,Metal,0.087248322147651,149
43,2005-04-17,Hip Hop,0.013422818791946308,149
44,2005-04-17,Pop,0.053691275167785234,149
45,2005-04-17,Electronic,0.020134228187919462,149
46,2005-04-17,folk,0.020134228187919462,149
47,2005-05-01,other,0.4230769230769231,78
48,2005-05-01,Rock,0.2564102564102564,78
49,2005-05-01,Jazz,0.15384615384615385,78
50,2005-05-01,Metal,0.14102564102564102,78
51,2005-05-01,Hip Hop,0.01282051282051282,78
52,2005-05-01,folk,0.01282051282051282,78
53,2005-05-08,Indie,0.14285714285714285,28
54,2005-05-08,Metal,0.14285714285714285,28
55,2005-05-08,Rock,0.5357142857142857,28
56,2005-05-08,folk,0.07142857142857142,28
57,2005-05-08,Electronic,0.03571428571428571,28
58,2005-05-08,Jazz,0.03571428571428571,28
59,2005-05-08,other,0.03571428571428571,28
60,2005-05-15,Rock,0.6370370370370371,135
61,2005-05-15,other,0.11851851851851852,135
62,2005-05-15,Jazz,0.18518518518518517,135
63,2005-05-15,Metal,0.044444444444444446,135
64,2005-05-15,Classical,0.007407407407407408,135
65,2005-05-15,Indie,0.007407407407407408,135
66,2005-05-22,Metal,0.10666666666666667,75
67,2005-05-22,Rock,0.5466666666666666,75
68,2005-05-22,Jazz,0.2,75
69,2005-05-22,Indie,0.02666666666666667,75
70,2005-05-22,other,0.06666666666666667,75
71,2005-05-22,Hip Hop,0.013333333333333334,75
72,2005-05-22,Pop,0.02666666666666667,75
73,2005-05-22,folk,0.013333333333333334,75
74,2005-05-29,Indie,0.18604651162790697,43
75,2005-05-29,Electronic,0.06976744186046512,43
76,2005-05-29,Jazz,0.046511627906976744,43
77,2005-05-29,Rock,0.5813953488372093,43
78,2005-05-29,Metal,0.06976744186046512,43
79,2005-05-29,other,0.046511627906976744,43
80,2005-06-05,Rock,0.8333333333333334,6
81,2005-06-05,Electronic,0.16666666666666666,6
82,2005-06-12,Rock,0.6785714285714286,28
83,2005-06-12,folk,0.03571428571428571,28
84,2005-06-12,Pop,0.03571428571428571,28
85,2005-06-12,Metal,0.10714285714285714,28
86,2005-06-12,other,0.07142857142857142,28
87,2005-06-12,Electronic,0.07142857142857142,28
88,2005-06-26,Rock,0.9375,16
89,2005-06-26,other,0.0625,16
90,2005-07-03,Rock,0.6962025316455697,79
91,2005-07-03,Metal,0.08860759493670886,79
92,2005-07-03,Jazz,0.1518987341772152,79
93,2005-07-03,other,0.05063291139240506,79
94,2005-07-03,Indie,0.012658227848101266,79
95,2005-07-10,Rock,0.7,30
96,2005-07-10,Jazz,0.3,30
97,2005-07-17,folk,0.2,45
98,2005-07-17,Jazz,0.37777777777777777,45
99,2005-07-17,other,0.2222222222222222,45
100,2005-07-17,Pop,0.06666666666666667,45
101,2005-07-17,Hip Hop,0.044444444444444446,45
102,2005-07-17,Rock,0.08888888888888889,45
103,2005-07-24,folk,0.35185185185185186,54
104,2005-07-24,Rock,0.46296296296296297,54
105,2005-07-24,Metal,0.09259259259259259,54
106,2005-07-24,Jazz,0.05555555555555555,54
107,2005-07-24,Pop,0.018518518518518517,54
108,2005-07-24,Electronic,0.018518518518518517,54
109,2005-07-31,Jazz,0.6091954022988506,87
110,2005-07-31,other,0.12643678160919541,87
111,2005-07-31,Rock,0.1839080459770115,87
112,2005-07-31,Hip Hop,0.011494252873563218,87
113,2005-07-31,folk,0.034482758620689655,87
114,2005-07-31,Metal,0.022988505747126436,87
115,2005-07-31,Indie,0.011494252873563218,87
116,2005-08-07,Metal,0.16363636363636364,55
117,2005-08-07,Jazz,0.23636363636363636,55
118,2005-08-07,folk,0.05454545454545454,55
119,2005-08-07,Classical,0.01818181818181818,55
120,2005-08-07,Rock,0.38181818181818183,55
121,2005-08-07,other,0.10909090909090909,55
122,2005-08-07,Pop,0.01818181818181818,55
123,2005-08-07,Electronic,0.01818181818181818,55
124,2005-08-14,Rock,0.3767123287671233,146
125,2005-08-14,Jazz,0.2808219178082192,146
126,2005-08-14,Metal,0.0821917808219178,146
127,2005-08-14,Electronic,0.0410958904109589,146
128,2005-08-14,other,0.10273972602739725,146
129,2005-08-14,Hip Hop,0.0410958904109589,146
130,2005-08-14,folk,0.0547945205479452,146
131,2005-08-14,Indie,0.00684931506849315,146
132,2005-08-14,Pop,0.0136986301369863,146
133,2005-08-21,Metal,0.12121212121212122,231
134,2005-08-21,Rock,0.5757575757575758,231
135,2005-08-21,Pop,0.04329004329004329,231
136,2005-08-21,Electronic,0.03896103896103896,231
137,2005-08-21,Jazz,0.07792207792207792,231
138,2005-08-21,Hip Hop,0.021645021645021644,231
139,2005-08-21,other,0.09090909090909091,231
140,2005-08-21,folk,0.017316017316017316,231
141,2005-08-21,Indie,0.012987012987012988,231
142,2005-08-28,other,0.1576923076923077,260
143,2005-08-28,Metal,0.09615384615384616,260
144,2005-08-28,Rock,0.5423076923076923,260
145,2005-08-28,Jazz,0.10384615384615385,260
146,2005-08-28,Indie,0.019230769230769232,260
147,2005-08-28,Electronic,0.015384615384615385,260
148,2005-08-28,Pop,0.03461538461538462,260
149,2005-08-28,Hip Hop,0.015384615384615385,260
150,2005-08-28,folk,0.015384615384615385,260
151,2005-09-11,other,0.18796992481203006,133
152,2005-09-11,Rock,0.49624060150375937,133
153,2005-09-11,Jazz,0.12030075187969924,133
154,2005-09-11,Electronic,0.03007518796992481,133
155,2005-09-11,Indie,0.015037593984962405,133
156,2005-09-11,Metal,0.07518796992481203,133
157,2005-09-11,folk,0.015037593984962405,133
158,2005-09-11,Hip Hop,0.022556390977443608,133
159,2005-09-11,Pop,0.03759398496240601,133
160,2005-09-18,Jazz,0.4909090909090909,55
161,2005-09-18,Rock,0.34545454545454546,55
162,2005-09-18,Metal,0.03636363636363636,55
163,2005-09-18,other,0.09090909090909091,55
164,2005-09-18,Pop,0.01818181818181818,55
165,2005-09-18,Indie,0.01818181818181818,55
166,2005-09-25,Metal,0.08189655172413793,232
167,2005-09-25,Rock,0.35344827586206895,232
168,2005-09-25,other,0.20689655172413793,232
169,2005-09-25,Jazz,0.27155172413793105,232
